Name,Age,Salary,Login Time,Date_mdy,Date_dmy,Date_ymd,Retired,Sex
Frank,37,79654.15,05:30:02,06/24/2016,24-Jun-16,20160624,No,2
Ian,46,40141.07,17:58:05,06/22/2020,22-Jun-20,20200622,No,2
Eve,42,50214.58,15:36:04,08/17/2021,17-Aug-21,20210817,No,2
Bob,58,86085.23,20:19:57,05/01/2022,1-May-22,20220501,Yes,1
Frank,21,85396.7,17:16:51,02/21/2021,21-Feb-21,20210201,No,2
Alice,33,75084.49,22:07:14,10/20/2022,20-Oct-22,20221020,No,2
Bob,33,38119.43,17:33:38,06/20/2018,20-Jun-18,20180620,No,1
Frank,35,37923.91,21:35:50,02/06/2017,6-Feb-17,20170206,No,2
Frank,25,100056.95,07:34:59,06/03/2021,3-Jun-21,20210603,No,2
Grace,31,83792.41,07:18:03,08/01/2021,1-Aug-21,20210801,No,1
Frank,54,75980.85,06:51:23,05/10/2021,10-May-21,,Yes,2
Julia,23,95014.9,22:40:39,,17-Feb-21,20210217,No,2
Helen,,89760.98,10:40:50,,12-Jul-24,20240712,No,1
Bob,,116990.09,16:51:57,,7-Sep-22,20220907,Yes,1
Bob,,62672.07,04:27:46,10/08/2019,8-Oct-19,20190108,No,2
Julia,44,43793.07,03:30:28,09/02/2015,2-Sep-15,20150902,No,2
Grace,37,71711.8,23:30:23,10/22/2017,22-Oct-17,20171022,No,2
Alice,59,92504.36,13:23:55,01/23/2016,23-Jan-16,20160123,Yes,1
Frank,25,75596,03:38:41,08/10/2022,10-Aug-22,20220810,No,1
